0,0,2980
0,5,2377
0,10,1476
0,15,888
0,20,546
0,25,345
0,30,228
0,35,159
0,40,121
0,45,111
0,50,142
0,55,252
0,60,502
0,65,993
0,70,1411
5,0,2297
5,5,2541
5,10,2051
5,15,1424
5,20,953
5,25,633
5,30,420
5,35,287
5,40,218
5,45,203
5,50,246
5,55,369
5,60,676
5,65,1230
5,70,1251
10,0,1388
10,5,1862
10,10,1824
10,15,1506
10,20,1145
10,25,849
10,30,631
10,35,475
10,40,375
10,45,332
10,50,353
10,55,504
10,60,923
10,65,1302
10,70,947
15,0,785
15,5,1240
15,10,1350
15,15,1220
15,20,1028
15,25,838
15,30,676
15,35,560
15,40,482
15,45,445
15,50,484
15,55,709
15,60,1086
15,65,1124
15,70,671
20,0,442
20,5,802
20,10,988
20,15,947
20,20,830
20,25,718
20,30,633
20,35,558
20,40,507
20,45,502
20,50,606
20,55,857
20,60,1040
20,65,874
20,70,493
25,0,267
25,5,507
25,10,720
25,15,749
25,20,692
25,25,605
25,30,542
25,35,517
25,40,508
25,45,549
25,50,692
25,55,848
25,60,874
25,65,656
25,70,385
30,0,180
30,5,324
30,10,516
30,15,599
30,20,587
30,25,542
30,30,487
30,35,464
30,40,498
30,45,586
30,50,697
30,55,750
30,60,706
30,65,496
30,70,315
35,0,134
35,5,221
35,10,367
35,15,477
35,20,502
35,25,493
35,30,472
35,35,459
35,40,495
35,45,580
35,50,637
35,55,643
35,60,562
35,65,388
35,70,268
40,0,107
40,5,162
40,10,265
40,15,378
40,20,435
40,25,455
40,30,468
40,35,485
40,40,516
40,45,548
40,50,558
40,55,542
40,60,448
40,65,316
40,70,232
45,0,89
45,5,129
45,10,200
45,15,302
45,20,382
45,25,429
45,30,470
45,35,509
45,40,533
45,45,526
45,50,501
45,55,455
45,60,358
45,65,262
45,70,202
50,0,79
50,5,109
50,10,161
50,15,247
50,20,343
50,25,418
50,30,476
50,35,519
50,40,533
50,45,518
50,50,473
50,55,397
50,60,294
50,65,219
50,70,177
55,0,73
55,5,98
55,10,141
55,15,215
55,20,318
55,25,416
55,30,483
55,35,520
55,40,529
55,45,514
55,50,464
55,55,365
55,60,259
55,65,191
55,70,157
60,0,71
60,5,95
60,10,135
60,15,205
60,20,309
60,25,417
60,30,486
60,35,518
60,40,527
60,45,512
60,50,463
60,55,355
60,60,247
60,65,182
60,70,150
