0,0,2980
0,5,2377
0,10,1476
0,15,888
0,20,546
0,25,345
0,30,228
0,35,159
0,40,121
0,45,111
0,50,142
0,55,252
0,60,502
0,65,993
0,70,1411
5,70,1251
10,70,947
15,70,671
20,0,442
20,5,802
20,10,988
20,15,947
20,20,830
20,25,718
20,30,633
20,35,558
20,40,507
20,45,502
20,50,606
20,55,857
20,60,1040
20,65,874
20,70,493
25,0,267
30,0,180
35,0,134
40,0,107
40,5,162
40,10,265
40,15,378
40,20,435
40,25,455
40,30,468
40,35,485
40,40,516
40,45,548
40,50,558
40,55,542
40,60,448
40,65,316
40,70,232
45,70,202
50,70,177
55,70,157
60,0,71
60,5,95
60,10,135
60,15,205
60,20,309
60,25,417
60,30,486
60,35,518
60,40,527
60,45,512
60,50,463
60,55,355
60,60,247
60,65,182
60,70,150
